Pokedex No.,Name,Type,Other Type,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total,Generation,Legendary
351,Castform Snowy Form,Ice,,70,70,70,70,70,70,420,3,0
352,Kecleon,Normal,,60,90,70,60,120,40,440,3,0
353,Shuppet,Ghost,,44,75,35,63,33,45,295,3,0
354,Banette,Ghost,,64,115,65,83,63,65,455,3,0
354,Mega Banette,Ghost,,64,165,75,93,83,75,555,3,0
355,Duskull,Ghost,,20,40,90,30,90,25,295,3,0
356,Dusclops,Ghost,,40,70,130,60,130,25,455,3,0
357,Tropius,Grass,Flying,99,68,83,72,87,51,460,3,0
358,Chimecho,Psychic,,75,50,80,95,90,65,455,3,0
359,Absol,Dark,,65,130,60,75,60,75,465,3,0
359,Mega Absol,Dark,,65,150,60,115,60,115,565,3,0
360,Wynaut,Psychic,,95,23,48,23,48,23,260,3,0
361,Snorunt,Ice,,50,50,50,50,50,50,300,3,0
362,Glalie,Ice,,80,80,80,80,80,80,480,3,0
362,Mega Glalie,Ice,,80,120,80,120,80,100,580,3,0
363,Spheal,Ice,Water,70,40,50,55,50,25,290,3,0
364,Sealeo,Ice,Water,90,60,70,75,70,45,410,3,0
365,Walrein,Ice,Water,110,80,90,95,90,65,530,3,0
366,Clamperl,Water,,35,64,85,74,55,32,345,3,0
367,Huntail,Water,,55,104,105,94,75,52,485,3,0
368,Gorebyss,Water,,55,84,105,114,75,52,485,3,0
369,Relicanth,Water,Rock,100,90,130,45,65,55,485,3,0
370,Luvdisc,Water,,43,30,55,40,65,97,330,3,0
371,Bagon,Dragon,,45,75,60,40,30,50,300,3,0
372,Shelgon,Dragon,,65,95,100,60,50,50,420,3,0
373,Salamence,Dragon,Flying,95,135,80,110,80,100,600,3,0
373,Mega Salamence,Dragon,Flying,95,145,130,120,90,120,700,3,0
374,Beldum,Steel,Psychic,40,55,80,35,60,30,300,3,0
375,Metang,Steel,Psychic,60,75,100,55,80,50,420,3,0
376,Metagross,Steel,Psychic,80,135,130,95,90,70,600,3,0
376,Mega Metagross,Steel,Psychic,80,145,150,105,110,110,700,3,0
377,Regirock,Rock,,80,100,200,50,100,50,580,3,1
378,Regice,Ice,,80,50,100,100,200,50,580,3,1
379,Registeel,Steel,,80,75,150,75,150,50,580,3,1
380,Latias,Dragon,Psychic,80,80,90,110,130,110,600,3,1
380,Mega Latias,Dragon,Psychic,80,100,120,140,150,110,700,3,1
381,Latios,Dragon,Psychic,80,90,80,130,110,110,600,3,1
381,Mega Latios,Dragon,Psychic,80,130,100,160,120,110,700,3,1
382,Kyogre,Water,,100,100,90,150,140,90,670,3,1
382,Primal Kyogre,Water,,100,150,90,180,160,90,770,3,1
383,Groudon,Ground,,100,150,140,100,90,90,670,3,1
383,Primal Groudon,Ground,Fire,100,180,160,150,90,90,770,3,1
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,680,3,1
384,Mega Rayquaza,Dragon,Flying,105,180,100,180,100,115,780,3,1
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,600,3,1
386,Deoxys Normal Forme,Psychic,,50,150,50,150,50,150,600,3,1
386,Deoxys Attack Forme,Psychic,,50,180,20,180,20,150,600,3,1
386,Deoxys Defense Forme,Psychic,,50,70,160,70,160,90,600,3,1
386,Deoxys Speed Forme,Psychic,,50,95,90,95,90,180,600,3,1
387,Turtwig,Grass,,55,68,64,45,55,31,318,4,0
388,Grotle,Grass,,75,89,85,55,65,36,405,4,0
389,Torterra,Grass,Ground,95,109,105,75,85,56,525,4,0
390,Chimchar,Fire,,44,58,44,58,44,61,309,4,0
391,Monferno,Fire,Fighting,64,78,52,78,52,81,405,4,0
392,Infernape,Fire,Fighting,76,104,71,104,71,108,534,4,0
393,Piplup,Water,,53,51,53,61,56,40,314,4,0
394,Prinplup,Water,,64,66,68,81,76,50,405,4,0
395,Empoleon,Water,Steel,84,86,88,111,101,60,530,4,0
396,Starly,Normal,Flying,40,55,30,30,30,60,245,4,0
397,Staravia,Normal,Flying,55,75,50,40,40,80,340,4,0
398,Staraptor,Normal,Flying,85,120,70,50,60,100,485,4,0
399,Bidoof,Normal,,59,45,40,35,40,31,250,4,0
400,Bibarel,Normal,Water,79,85,60,55,60,71,410,4,0
401,Kricketot,Bug,,37,25,41,25,41,25,194,4,0
402,Kricketune,Bug,,77,85,51,55,51,65,384,4,0
403,Shinx,Electric,,45,65,34,40,34,45,263,4,0
404,Luxio,Electric,,60,85,49,60,49,60,363,4,0
405,Luxray,Electric,,80,120,79,95,79,70,523,4,0
406,Budew,Grass,Poison,40,30,35,50,70,55,280,4,0
407,Roserade,Grass,Poison,60,70,65,125,105,90,515,4,0
408,Cranidos,Rock,,67,125,40,30,30,58,350,4,0
409,Rampardos,Rock,,97,165,60,65,50,58,495,4,0
410,Shieldon,Rock,Steel,30,42,118,42,88,30,350,4,0
411,Bastiodon,Rock,Steel,60,52,168,47,138,30,495,4,0
412,Burmy,Bug,,40,29,45,29,45,36,224,4,0
413,Wormadam Plant Cloak,Bug,Grass,60,59,85,79,105,36,424,4,0
413,Wormadam Sandy Cloak,Bug,Ground,60,79,105,59,85,36,424,4,0
413,Wormadam Trash Cloak,Bug,Steel,60,69,95,69,95,36,424,4,0
414,Mothim,Bug,Flying,70,94,50,94,50,66,424,4,0
415,Combee,Bug,Flying,30,30,42,30,42,70,244,4,0
416,Vespiquen,Bug,Flying,70,80,102,80,102,40,474,4,0
417,Pachirisu,Electric,,60,45,70,45,90,95,405,4,0
418,Buizel,Water,,55,65,35,60,30,85,330,4,0
419,Floatzel,Water,,85,105,55,85,50,115,495,4,0
420,Cherubi,Grass,,45,35,45,62,53,35,275,4,0
421,Cherrim,Grass,,70,60,70,87,78,85,450,4,0
422,Shellos,Water,,76,48,48,57,62,34,325,4,0
423,Gastrodon,Water,Ground,111,83,68,92,82,39,475,4,0
424,Ambipom,Normal,,75,100,66,60,66,115,482,4,0
425,Drifloon,Ghost,Flying,90,50,34,60,44,70,348,4,0
426,Drifblim,Ghost,Flying,150,80,44,90,54,80,498,4,0
427,Buneary,Normal,,55,66,44,44,56,85,350,4,0
428,Lopunny,Normal,,65,76,84,54,96,105,480,4,0
428,Mega Lopunny,Normal,Fighting,65,136,94,54,96,135,580,4,0
429,Mismagius,Ghost,,60,60,60,105,105,105,495,4,0
430,Honchkrow,Dark,Flying,100,125,52,105,52,71,505,4,0
431,Glameow,Normal,,49,55,42,42,37,85,310,4,0
432,Purugly,Normal,,71,82,64,64,59,112,452,4,0
433,Chingling,Psychic,,45,30,50,65,50,45,285,4,0
434,Stunky,Poison,Dark,63,63,47,41,41,74,329,4,0
435,Skuntank,Poison,Dark,103,93,67,71,61,84,479,4,0
436,Bronzor,Steel,Psychic,57,24,86,24,86,23,300,4,0
437,Bronzong,Steel,Psychic,67,89,116,79,116,33,500,4,0
438,Bonsly,Rock,,50,80,95,10,45,10,290,4,0
439,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,310,4,0
440,Happiny,Normal,,100,5,5,15,65,30,220,4,0
441,Chatot,Normal,Flying,76,65,45,92,42,91,411,4,0
442,Spiritomb,Ghost,Dark,50,92,108,92,108,35,485,4,0
443,Gible,Dragon,Ground,58,70,45,40,45,42,300,4,0
444,Gabite,Dragon,Ground,68,90,65,50,55,82,410,4,0
445,Garchomp,Dragon,Ground,108,130,95,80,85,102,600,4,0
445,Mega Garchomp,Dragon,Ground,108,170,115,120,95,92,700,4,0
446,Munchlax,Normal,,135,85,40,40,85,5,390,4,0
447,Riolu,Fighting,,40,70,40,35,40,60,285,4,0
448,Lucario,Fighting,Steel,70,110,70,115,70,90,525,4,0
448,Mega Lucario,Fighting,Steel,70,145,88,140,70,112,625,4,0
449,Hippopotas,Ground,,68,72,78,38,42,32,330,4,0
450,Hippowdon,Ground,,108,112,118,68,72,47,525,4,0
451,Skorupi,Poison,Bug,40,50,90,30,55,65,330,4,0
452,Drapion,Poison,Dark,70,90,110,60,75,95,500,4,0
453,Croagunk,Poison,Fighting,48,61,40,61,40,50,300,4,0
454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,490,4,0
455,Carnivine,Grass,,74,100,72,90,72,46,454,4,0
456,Finneon,Water,,49,49,56,49,61,66,330,4,0
457,Lumineon,Water,,69,69,76,69,86,91,460,4,0
458,Mantyke,Water,Flying,45,20,50,60,120,50,345,4,0
459,Snover,Grass,Ice,60,62,50,62,60,40,334,4,0
460,Abomasnow,Grass,Ice,90,92,75,92,85,60,494,4,0
460,Mega Abomasnow,Grass,Ice,90,132,105,132,105,30,594,4,0
461,Weavile,Dark,Ice,70,120,65,45,85,125,510,4,0
462,Magnezone,Electric,Steel,70,70,115,130,90,60,535,4,0
463,Lickilicky,Normal,,110,85,95,80,95,50,515,4,0
464,Rhyperior,Ground,Rock,115,140,130,55,55,40,535,4,0
465,Tangrowth,Grass,,100,100,125,110,50,50,535,4,0
466,Electivire,Electric,,75,123,67,95,85,95,540,4,0
467,Magmortar,Fire,,75,95,67,125,95,83,540,4,0
468,Togekiss,Fairy,Flying,85,50,95,120,115,80,545,4,0
469,Yanmega,Bug,Flying,86,76,86,116,56,95,515,4,0
470,Leafeon,Grass,,65,110,130,60,65,95,525,4,0
471,Glaceon,Ice,,65,60,110,130,95,65,525,4,0
472,Gliscor,Ground,Flying,75,95,125,45,75,95,510,4,0
473,Mamoswine,Ice,Ground,110,130,80,70,60,80,530,4,0
474,Porygon-Z,Normal,,85,80,70,135,75,90,535,4,0
475,Gallade,Psychic,Fighting,68,125,65,65,115,80,518,4,0
475,Mega Gallade,Psychic,Fighting,68,165,95,65,115,110,618,4,0
476,Probopass,Rock,Steel,60,55,145,75,150,40,525,4,0
477,Dusknoir,Ghost,,45,100,135,65,135,45,525,4,0
478,Froslass,Ice,Ghost,70,80,70,80,70,110,480,4,0
479,Rotom,Electric,Ghost,50,50,77,95,77,91,440,4,0
479,Heat Rotom,Electric,Fire,50,65,107,105,107,86,520,4,0
479,Wash Rotom,Electric,Water,50,65,107,105,107,86,520,4,0
479,Frost Rotom,Electric,Ice,50,65,107,105,107,86,520,4,0
479,Fan Rotom,Electric,Flying,50,65,107,105,107,86,520,4,0
479,Mow Rotom,Electric,Grass,50,65,107,105,107,86,520,4,0
480,Uxie,Psychic,,75,75,130,75,130,95,580,4,1
481,Mesprit,Psychic,,80,105,105,105,105,80,580,4,1
482,Azelf,Psychic,,75,125,70,125,70,115,580,4,1
483,Dialga,Steel,Dragon,100,120,120,150,100,90,680,4,1
484,Palkia,Water,Dragon,90,120,100,150,120,100,680,4,1
485,Heatran,Fire,Steel,91,90,106,130,106,77,600,4,1
486,Regigigas,Normal,,110,160,110,80,110,100,670,4,1
487,Giratina Altered Forme,Ghost,Dragon,150,100,120,100,120,90,680,4,1
487,Giratina Origin Forme,Ghost,Dragon,150,120,100,120,100,90,680,4,1
488,Cresselia,Psychic,,120,70,120,75,130,85,600,4,1
489,Phione,Water,,80,80,80,80,80,80,480,4,1
490,Manaphy,Water,,100,100,100,100,100,100,600,4,1
491,Darkrai,Dark,,70,90,90,135,90,125,600,4,1
492,Shaymin Land Forme,Grass,,100,100,100,100,100,100,600,4,1
492,Shaymin Sky Forme,Grass,Flying,100,103,75,120,75,127,600,4,1
493,Arceus,Normal,,120,120,120,120,120,120,720,4,1
494,Victini,Psychic,Fire,100,100,100,100,100,100,600,5,1
495,Snivy,Grass,,45,45,55,45,55,63,308,5,0
496,Servine,Grass,,60,60,75,60,75,83,413,5,0
497,Serperior,Grass,,75,75,95,75,95,113,528,5,0
498,Tepig,Fire,,65,63,45,45,45,45,308,5,0
499,Pignite,Fire,Fighting,90,93,55,70,55,55,418,5,0
500,Emboar,Fire,Fighting,110,123,65,100,65,65,528,5,0
501,Oshawott,Water,,55,55,45,63,45,45,308,5,0
502,Dewott,Water,,75,75,60,83,60,60,413,5,0
503,Samurott,Water,,95,100,85,108,70,70,528,5,0
504,Patrat,Normal,,45,55,39,35,39,42,255,5,0
505,Watchog,Normal,,60,85,69,60,69,77,420,5,0
506,Lillipup,Normal,,45,60,45,25,45,55,275,5,0
507,Herdier,Normal,,65,80,65,35,65,60,370,5,0
508,Stoutland,Normal,,85,110,90,45,90,80,500,5,0
509,Purrloin,Dark,,41,50,37,50,37,66,281,5,0
510,Liepard,Dark,,64,88,50,88,50,106,446,5,0
511,Pansage,Grass,,50,53,48,53,48,64,316,5,0
512,Simisage,Grass,,75,98,63,98,63,101,498,5,0
513,Pansear,Fire,,50,53,48,53,48,64,316,5,0
514,Simisear,Fire,,75,98,63,98,63,101,498,5,0
515,Panpour,Water,,50,53,48,53,48,64,316,5,0
516,Simipour,Water,,75,98,63,98,63,101,498,5,0
517,Munna,Psychic,,76,25,45,67,55,24,292,5,0
518,Musharna,Psychic,,116,55,85,107,95,29,487,5,0
519,Pidove,Normal,Flying,50,55,50,36,30,43,264,5,0
520,Tranquill,Normal,Flying,62,77,62,50,42,65,358,5,0
521,Unfezant,Normal,Flying,80,115,80,65,55,93,488,5,0
522,Blitzle,Electric,,45,60,32,50,32,76,295,5,0
523,Zebstrika,Electric,,75,100,63,80,63,116,497,5,0
524,Roggenrola,Rock,,55,75,85,25,25,15,280,5,0
525,Boldore,Rock,,70,105,105,50,40,20,390,5,0
526,Gigalith,Rock,,85,135,130,60,80,25,515,5,0
527,Woobat,Psychic,Flying,65,45,43,55,43,72,323,5,0
528,Swoobat,Psychic,Flying,67,57,55,77,55,114,425,5,0
529,Drilbur,Ground,,60,85,40,30,45,68,328,5,0
530,Excadrill,Ground,Steel,110,135,60,50,65,88,508,5,0
531,Audino,Normal,,103,60,86,60,86,50,445,5,0
531,Mega Audino,Normal,Fairy,103,60,126,80,126,50,545,5,0
532,Timburr,Fighting,,75,80,55,25,35,35,305,5,0
533,Gurdurr,Fighting,,85,105,85,40,50,40,405,5,0
534,Conkeldurr,Fighting,,105,140,95,55,65,45,505,5,0
535,Tympole,Water,,50,50,40,50,40,64,294,5,0
536,Palpitoad,Water,Ground,75,65,55,65,55,69,384,5,0
537,Seismitoad,Water,Ground,105,95,75,85,75,74,509,5,0
538,Throh,Fighting,,120,100,85,30,85,45,465,5,0
539,Sawk,Fighting,,75,125,75,30,75,85,465,5,0
540,Sewaddle,Bug,Grass,45,53,70,40,60,42,310,5,0
541,Swadloon,Bug,Grass,55,63,90,50,80,42,380,5,0
542,Leavanny,Bug,Grass,75,103,80,70,80,92,500,5,0
543,Venipede,Bug,Poison,30,45,59,30,39,57,260,5,0
544,Whirlipede,Bug,Poison,40,55,99,40,79,47,360,5,0
545,Scolipede,Bug,Poison,60,100,89,55,69,112,485,5,0
546,Cottonee,Grass,Fairy,40,27,60,37,50,66,280,5,0
547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,480,5,0
548,Petilil,Grass,,45,35,50,70,50,30,280,5,0
549,Lilligant,Grass,,70,60,75,110,75,90,480,5,0
550,Basculin Red-Striped Form,Water,,70,92,65,80,55,98,460,5,0
550,Basculin Blue-Striped Form,Water,,70,92,65,80,55,98,460,5,0
551,Sandile,Ground,Dark,50,72,35,35,35,65,292,5,0
552,Krokorok,Ground,Dark,60,82,45,45,45,74,351,5,0
553,Krookodile,Ground,Dark,95,117,80,65,70,92,519,5,0
554,Darumaka,Fire,,70,90,45,15,45,50,315,5,0
554,Galarian Darumaka,Ice,,70,90,45,15,45,50,315,5,0
555,Darmanitan Standard Mode,Fire,,105,140,55,30,55,95,480,5,0
555,Darmanitan Zen Mode,Fire,Psychic,105,30,105,140,105,55,540,5,0
555,Darmanitan Galarian Standard Mode,Ice,,105,140,55,30,55,95,480,5,0
555,Darmanitan Galarian Zen Mode,Ice,Fire,105,160,55,30,55,135,540,5,0
556,Maractus,Grass,,75,86,67,106,67,60,461,5,0
557,Dwebble,Bug,Rock,50,65,85,35,35,55,325,5,0
558,Crustle,Bug,Rock,70,105,125,65,75,45,485,5,0
559,Scraggy,Dark,Fighting,50,75,70,35,70,48,348,5,0
560,Scrafty,Dark,Fighting,65,90,115,45,115,58,488,5,0
561,Sigilyph,Psychic,Flying,72,58,80,103,80,97,490,5,0
562,Yamask,Ghost,,38,30,85,55,65,30,303,5,0
562,Galarian Yamask,Ground,Ghost,38,55,85,30,65,30,303,5,0
563,Cofagrigus,Ghost,,58,50,145,95,105,30,483,5,0
564,Tirtouga,Water,Rock,54,78,103,53,45,22,355,5,0
565,Carracosta,Water,Rock,74,108,133,83,65,32,495,5,0
566,Archen,Rock,Flying,55,112,45,74,45,70,401,5,0
567,Archeops,Rock,Flying,75,140,65,112,65,110,567,5,0
568,Trubbish,Poison,,50,50,62,40,62,65,329,5,0
569,Garbodor,Poison,,80,95,82,60,82,75,474,5,0
570,Zorua,Dark,,40,65,40,80,40,65,330,5,0
571,Zoroark,Dark,,60,105,60,120,60,105,510,5,0
572,Minccino,Normal,,55,50,40,40,40,75,300,5,0
573,Cinccino,Normal,,75,95,60,65,60,115,470,5,0
574,Gothita,Psychic,,45,30,50,55,65,45,290,5,0
575,Gothorita,Psychic,,60,45,70,75,85,55,390,5,0
576,Gothitelle,Psychic,,70,55,95,95,110,65,490,5,0
577,Solosis,Psychic,,45,30,40,105,50,20,290,5,0
578,Duosion,Psychic,,65,40,50,125,60,30,370,5,0
579,Reuniclus,Psychic,,110,65,75,125,85,30,490,5,0
580,Ducklett,Water,Flying,62,44,50,44,50,55,305,5,0
581,Swanna,Water,Flying,75,87,63,87,63,98,473,5,0
582,Vanillite,Ice,,36,50,50,65,60,44,305,5,0
583,Vanillish,Ice,,51,65,65,80,75,59,395,5,0
584,Vanilluxe,Ice,,71,95,85,110,95,79,535,5,0
585,Deerling,Normal,Grass,60,60,50,40,50,75,335,5,0
586,Sawsbuck,Normal,Grass,80,100,70,60,70,95,475,5,0
587,Emolga,Electric,Flying,55,75,60,75,60,103,428,5,0
588,Karrablast,Bug,,50,75,45,40,45,60,315,5,0
589,Escavalier,Bug,Steel,70,135,105,60,105,20,495,5,0
590,Foongus,Grass,Poison,69,55,45,55,55,15,294,5,0
591,Amoonguss,Grass,Poison,114,85,70,85,80,30,464,5,0
592,Frillish,Water,Ghost,55,40,50,65,85,40,335,5,0
593,Jellicent,Water,Ghost,100,60,70,85,105,60,480,5,0
594,Alomomola,Water,,165,75,80,40,45,65,470,5,0
595,Joltik,Bug,Electric,50,47,50,57,50,65,319,5,0
596,Galvantula,Bug,Electric,70,77,60,97,60,108,472,5,0
597,Ferroseed,Grass,Steel,44,50,91,24,86,10,305,5,0
598,Ferrothorn,Grass,Steel,74,94,131,54,116,20,489,5,0
599,Klink,Steel,,40,55,70,45,60,30,300,5,0
600,Klang,Steel,,60,80,95,70,85,50,440,5,0
601,Klinklang,Steel,,60,100,115,70,85,90,520,5,0
602,Tynamo,Electric,,35,55,40,45,40,60,275,5,0
603,Eelektrik,Electric,,65,85,70,75,70,40,405,5,0
604,Eelektross,Electric,,85,115,80,105,80,50,515,5,0
605,Elgyem,Psychic,,55,55,55,85,55,30,335,5,0
606,Beheeyem,Psychic,,75,75,75,125,95,40,485,5,0
607,Litwick,Ghost,Fire,50,30,55,65,55,20,275,5,0
608,Lampent,Ghost,Fire,60,40,60,95,60,55,370,5,0
609,Chandelure,Ghost,Fire,60,55,90,145,90,80,520,5,0
610,Axew,Dragon,,46,87,60,30,40,57,320,5,0
611,Fraxure,Dragon,,66,117,70,40,50,67,410,5,0
612,Haxorus,Dragon,,76,147,90,60,70,97,540,5,0
613,Cubchoo,Ice,,55,70,40,60,40,40,305,5,0
614,Beartic,Ice,,95,130,80,70,80,50,505,5,0
615,Cryogonal,Ice,,80,50,50,95,135,105,515,5,0
616,Shelmet,Bug,,50,40,85,40,65,25,305,5,0
617,Accelgor,Bug,,80,70,40,100,60,145,495,5,0
618,Stunfisk,Ground,Electric,109,66,84,81,99,32,471,5,0
618,Galarian Stunfisk,Ground,Steel,109,81,99,66,84,32,471,5,0
619,Mienfoo,Fighting,,45,85,50,55,50,65,350,5,0
620,Mienshao,Fighting,,65,125,60,95,60,105,510,5,0
621,Druddigon,Dragon,,77,120,90,60,90,48,485,5,0
622,Golett,Ground,Ghost,59,74,50,35,50,35,303,5,0
623,Golurk,Ground,Ghost,89,124,80,55,80,55,483,5,0
624,Pawniard,Dark,Steel,45,85,70,40,40,60,340,5,0
625,Bisharp,Dark,Steel,65,125,100,60,70,70,490,5,0
626,Bouffalant,Normal,,95,110,95,40,95,55,490,5,0
627,Rufflet,Normal,Flying,70,83,50,37,50,60,350,5,0
628,Braviary,Normal,Flying,100,123,75,57,75,80,510,5,0
629,Vullaby,Dark,Flying,70,55,75,45,65,60,370,5,0
630,Mandibuzz,Dark,Flying,110,65,105,55,95,80,510,5,0
631,Heatmor,Fire,,85,97,66,105,66,65,484,5,0
632,Durant,Bug,Steel,58,109,112,48,48,109,484,5,0
633,Deino,Dark,Dragon,52,65,50,45,50,38,300,5,0
634,Zweilous,Dark,Dragon,72,85,70,65,70,58,420,5,0
635,Hydreigon,Dark,Dragon,92,105,90,125,90,98,600,5,0
636,Larvesta,Bug,Fire,55,85,55,50,55,60,360,5,0
637,Volcarona,Bug,Fire,85,60,65,135,105,100,550,5,0
638,Cobalion,Steel,Fighting,91,90,129,90,72,108,580,5,1
639,Terrakion,Rock,Fighting,91,129,90,72,90,108,580,5,1
640,Virizion,Grass,Fighting,91,90,72,90,129,108,580,5,1
641,Tornadus Incarnate Forme,Flying,,79,115,70,125,80,111,580,5,1
641,Tornadus Therian Forme,Flying,,79,100,80,110,90,121,580,5,1
642,Thundurus Incarnate Forme,Electric,Flying,79,115,70,125,80,111,580,5,1
642,Thundurus Therian Forme,Electric,Flying,79,105,70,145,80,101,580,5,1
643,Reshiram,Dragon,Fire,100,120,100,150,120,90,680,5,1
644,Zekrom,Dragon,Electric,100,150,120,120,100,90,680,5,1
645,Landorus Incarnate Forme,Ground,Flying,89,125,90,115,80,101,600,5,1
645,Landorus Therian Forme,Ground,Flying,89,145,90,105,80,91,600,5,1
646,Kyurem,Dragon,Ice,125,130,90,130,90,95,660,5,1
646,Black Kyurem,Dragon,Ice,125,170,100,120,90,95,700,5,1
646,White Kyurem,Dragon,Ice,125,120,90,170,100,95,700,5,1
647,Keldeo Ordinary Form,Water,Fighting,91,72,90,129,90,108,580,5,1
647,Keldeo Resolute Form,Water,Fighting,91,72,90,129,90,108,580,5,1
648,Meloetta Aria Forme,Normal,Psychic,100,77,77,128,128,90,600,5,1
648,Meloetta Pirouette Forme,Normal,Fighting,100,128,90,77,77,128,600,5,1
649,Genesect,Bug,Steel,71,120,95,120,95,99,600,5,1
650,Chespin,Grass,,56,61,65,48,45,38,313,6,0
651,Quilladin,Grass,,61,78,95,56,58,57,405,6,0
652,Chesnaught,Grass,Fighting,88,107,122,74,75,64,530,6,0
653,Fennekin,Fire,,40,45,40,62,60,60,307,6,0
654,Braixen,Fire,,59,59,58,90,70,73,409,6,0
655,Delphox,Fire,Psychic,75,69,72,114,100,104,534,6,0
656,Froakie,Water,,41,56,40,62,44,71,314,6,0
657,Frogadier,Water,,54,63,52,83,56,97,405,6,0
658,Greninja,Water,Dark,72,95,67,103,71,122,530,6,0
658,Ash-Greninja,Water,Dark,72,145,67,153,71,132,640,6,0
659,Bunnelby,Normal,,38,36,38,32,36,57,237,6,0
660,Diggersby,Normal,Ground,85,56,77,50,77,78,423,6,0
661,Fletchling,Normal,Flying,45,50,43,40,38,62,278,6,0
662,Fletchinder,Fire,Flying,62,73,55,56,52,84,382,6,0
663,Talonflame,Fire,Flying,78,81,71,74,69,126,499,6,0
664,Scatterbug,Bug,,38,35,40,27,25,35,200,6,0
665,Spewpa,Bug,,45,22,60,27,30,29,213,6,0
666,Vivillon,Bug,Flying,80,52,50,90,50,89,411,6,0
667,Litleo,Fire,Normal,62,50,58,73,54,72,369,6,0
668,Pyroar,Fire,Normal,86,68,72,109,66,106,507,6,0
669,Flabébé,Fairy,,44,38,39,61,79,42,303,6,0
670,Floette,Fairy,,54,45,47,75,98,52,371,6,0
671,Florges,Fairy,,78,65,68,112,154,75,552,6,0
672,Skiddo,Grass,,66,65,48,62,57,52,350,6,0
673,Gogoat,Grass,,123,100,62,97,81,68,531,6,0
674,Pancham,Fighting,,67,82,62,46,48,43,348,6,0
675,Pangoro,Fighting,Dark,95,124,78,69,71,58,495,6,0
676,Furfrou,Normal,,75,80,60,65,90,102,472,6,0
677,Espurr,Psychic,,62,48,54,63,60,68,355,6,0
678,Meowstic Male,Psychic,,74,48,76,83,81,104,466,6,0
678,Meowstic Female,Psychic,,74,48,76,83,81,104,466,6,0
679,Honedge,Steel,Ghost,45,80,100,35,37,28,325,6,0
680,Doublade,Steel,Ghost,59,110,150,45,49,35,448,6,0
681,Aegislash Shield Forme,Steel,Ghost,60,50,140,50,140,60,500,6,0
681,Aegislash Blade Forme,Steel,Ghost,60,140,50,140,50,60,500,6,0
682,Spritzee,Fairy,,78,52,60,63,65,23,341,6,0
683,Aromatisse,Fairy,,101,72,72,99,89,29,462,6,0
684,Swirlix,Fairy,,62,48,66,59,57,49,341,6,0
685,Slurpuff,Fairy,,82,80,86,85,75,72,480,6,0
686,Inkay,Dark,Psychic,53,54,53,37,46,45,288,6,0
687,Malamar,Dark,Psychic,86,92,88,68,75,73,482,6,0
688,Binacle,Rock,Water,42,52,67,39,56,50,306,6,0
689,Barbaracle,Rock,Water,72,105,115,54,86,68,500,6,0
690,Skrelp,Poison,Water,50,60,60,60,60,30,320,6,0
691,Dragalge,Poison,Dragon,65,75,90,97,123,44,494,6,0
692,Clauncher,Water,,50,53,62,58,63,44,330,6,0
693,Clawitzer,Water,,71,73,88,120,89,59,500,6,0
694,Helioptile,Electric,Normal,44,38,33,61,43,70,289,6,0
695,Heliolisk,Electric,Normal,62,55,52,109,94,109,481,6,0
696,Tyrunt,Rock,Dragon,58,89,77,45,45,48,362,6,0
697,Tyrantrum,Rock,Dragon,82,121,119,69,59,71,521,6,0
698,Amaura,Rock,Ice,77,59,50,67,63,46,362,6,0
699,Aurorus,Rock,Ice,123,77,72,99,92,58,521,6,0
700,Sylveon,Fairy,,95,65,65,110,130,60,525,6,0
701,Hawlucha,Fighting,Flying,78,92,75,74,63,118,500,6,0
702,Dedenne,Electric,Fairy,67,58,57,81,67,101,431,6,0
703,Carbink,Rock,Fairy,50,50,150,50,150,50,500,6,0
704,Goomy,Dragon,,45,50,35,55,75,40,300,6,0
705,Sliggoo,Dragon,,68,75,53,83,113,60,452,6,0
706,Goodra,Dragon,,90,100,70,110,150,80,600,6,0
707,Klefki,Steel,Fairy,57,80,91,80,87,75,470,6,0
708,Phantump,Ghost,Grass,43,70,48,50,60,38,309,6,0
709,Trevenant,Ghost,Grass,85,110,76,65,82,56,474,6,0
710,Pumpkaboo Average Size,Ghost,Grass,49,66,70,44,55,51,335,6,0
710,Pumpkaboo Small Size,Ghost,Grass,44,66,70,44,55,56,335,6,0
710,Pumpkaboo Large Size,Ghost,Grass,54,66,70,44,55,46,335,6,0
710,Pumpkaboo Super Size,Ghost,Grass,59,66,70,44,55,41,335,6,0
711,Gourgeist Average Size,Ghost,Grass,65,90,122,58,75,84,494,6,0
711,Gourgeist Small Size,Ghost,Grass,55,85,122,58,75,99,494,6,0
711,Gourgeist Large Size,Ghost,Grass,75,95,122,58,75,69,494,6,0
711,Gourgeist Super Size,Ghost,Grass,85,100,122,58,75,54,494,6,0
712,Bergmite,Ice,,55,69,85,32,35,28,304,6,0
713,Avalugg,Ice,,95,117,184,44,46,28,514,6,0
714,Noibat,Flying,Dragon,40,30,35,45,40,55,245,6,0
715,Noivern,Flying,Dragon,85,70,80,97,80,123,535,6,0
716,Xerneas,Fairy,,126,131,95,131,98,99,680,6,1
717,Yveltal,Dark,Flying,126,131,95,131,98,99,680,6,1
